,Bond Nav (Net),Cash for Coupon Payment,Cash for New Issuance,Bond Nav,Bond PnL,Bond Return,Bond Return Cumulative,Hedge Nav,Hedge PnL,Hedge Return,Total Return Daily,Total Return Cumulative,Difference in Return,Same Direction
2019-07-01,18135705.83333333,42500.00000000,15961440.00000000,34139645.83333333,,,,23035655.55555556,0.00000000,0.00000000,,,,0
2019-07-02,18230340.00000000,42500.00000000,15961440.00000000,34234280.00000000,94634.16666667,0.00277197,0.00277197,23207565.46181182,171909.90625626,0.00343820,0.00824655,0.00824655,-0.00547458,1
2019-07-03,18252424.16666667,42500.00000000,15961440.00000000,34256364.16666667,22084.16666667,0.00064509,0.00341885,23337470.95115879,129905.48934697,0.00257062,0.00466391,0.01294893,-0.00953008,1
2019-07-04,18256078.33333333,42500.00000000,15961440.00000000,34260018.33333333,3654.16666666,0.00010667,0.00352589,23334048.72893656,-3422.22222222,-0.00006844,0.00000708,0.01295610,-0.00943022,0
2019-07-05,18230832.50000000,42500.00000000,15961440.00000000,34234772.50000000,-25245.83333333,-0.00073689,0.00278640,23078611.73252776,-255436.99640881,-0.00500995,-0.00857292,0.00427212,-0.00148572,1
2019-07-08,18252595.00000000,42500.00000000,15961440.00000000,34256535.00000000,21762.50000000,0.00063568,0.00342385,23196818.50488584,118206.77235808,0.00236316,0.00431206,0.00860260,-0.00517874,1
2019-07-09,18225449.16666667,42500.00000000,15961440.00000000,34229389.16666667,-27145.83333333,-0.00079243,0.00262871,23155026.05724629,-41792.44763955,-0.00083532,-0.00211468,0.00646973,-0.00384102,1
2019-07-10,18225483.33333333,42500.00000000,15961440.00000000,34229423.33333333,34.16666666,0.00000100,0.00262971,22958728.55657467,-196297.50067162,-0.00391929,-0.00603312,0.00039758,0.00223213,0
2019-07-11,18192327.50000000,42500.00000000,15961440.00000000,34196267.50000000,-33155.83333333,-0.00096864,0.00165853,22691689.66832450,-267038.88825017,-0.00536147,-0.00928397,-0.00889008,0.01054861,1
2019-07-12,18268631.66666667,42500.00000000,15961440.00000000,34272571.66666667,76304.16666667,0.00223136,0.00389359,22688124.21231277,-3565.45601173,-0.00006185,0.00227063,-0.00663963,0.01053323,0
2019-07-15,18284434.16666667,42500.00000000,15961440.00000000,34288374.16666667,15802.50000000,0.00046108,0.00435647,22842105.93225412,153981.71994136,0.00312363,0.00528803,-0.00138672,0.00574319,1
2019-07-16,18232298.33333333,42500.00000000,15961440.00000000,34236238.33333333,-52135.83333334,-0.00152051,0.00282934,22804983.45809854,-37122.47415558,-0.00075675,-0.00276538,-0.00414826,0.00697760,1
2019-07-17,18232792.50000000,42500.00000000,15961440.00000000,34236732.50000000,494.16666667,0.00001443,0.00284381,23120875.56073261,315892.10263407,0.00638561,0.00982938,0.00564035,-0.00279654,1
2019-07-18,18220836.66666667,42500.00000000,15961440.00000000,34224776.66666667,-11955.83333333,-0.00034921,0.00249361,23083110.81983268,-37764.74089993,-0.00075522,-0.00152967,0.00410205,-0.00160845,1
2019-07-19,18226270.83333333,42500.00000000,15961440.00000000,34230210.83333333,5434.16666666,0.00015878,0.00265278,23078121.47275607,-4989.34707661,-0.00010192,0.00001371,0.00411582,-0.00146303,0
2019-07-22,18253113.33333333,42500.00000000,15961440.00000000,34257053.33333333,26842.50000000,0.00078418,0.00343904,23058632.16202345,-19489.31073262,-0.00038584,0.00022657,0.00434331,-0.00090428,0
2019-07-23,18231037.50000000,42500.00000000,15961440.00000000,34234977.50000000,-22075.83333333,-0.00064442,0.00279240,22846984.37152151,-211647.79050195,-0.00423915,-0.00719985,-0.00288781,0.00568022,1
2019-07-24,18236521.66666667,69250.00000000,15961440.00000000,34267211.66666667,32234.16666667,0.00094156,0.00373659,22842518.56910479,-4465.80241672,-0.00007256,0.00086161,-0.00202869,0.00576528,0
2019-07-25,18217495.83333333,69250.00000000,15961440.00000000,34248185.83333333,-19025.83333334,-0.00055522,0.00317929,22718494.41478189,-124024.15432290,-0.00248862,-0.00443479,-0.00645449,0.00963378,1
2019-07-26,18262310.00000000,69250.00000000,15961440.00000000,34293000.00000000,44814.16666667,0.00130851,0.00449197,22741581.51185850,23087.09707661,0.00047139,0.00211443,-0.00435370,0.00884567,1
2019-07-29,18243212.50000000,69250.00000000,15961440.00000000,34273902.50000000,-19097.50000000,-0.00055689,0.00393257,22777047.95039799,35466.43853949,0.00071021,0.00050865,-0.00384727,0.00777984,0
2019-07-30,18203996.66666667,103000.00000000,15961440.00000000,34268436.66666667,-5465.83333333,-0.00015948,0.00377247,22859065.80657467,82017.85617668,0.00164707,0.00237757,-0.00147884,0.00525131,0
2019-07-31,18195366.66666667,103000.00000000,15961440.00000000,34259806.66666667,-8630.00000000,-0.00025184,0.00351969,23158020.12359264,298954.31701797,0.00599155,0.00899559,0.00750344,-0.00398376,0
2019-08-01,18138725.83333333,138625.00000000,15961440.00000000,34238790.83333333,-21015.83333334,-0.00061343,0.00290410,23739858.09018698,581837.96659434,0.01158805,0.01722193,0.02485460,-0.02195050,0
2019-08-02,18053370.00000000,138625.00000000,15961440.00000000,34153435.00000000,-85355.83333333,-0.00249296,0.00040390,24041593.71540332,301735.62521633,0.00591997,0.00653217,0.03154913,-0.03114522,0
2019-08-05,17926622.50000000,138625.00000000,15961440.00000000,34026687.50000000,-126747.50000000,-0.00371112,-0.00330871,24707003.72987818,665410.01447487,0.01301167,0.01615586,0.04821469,-0.05152341,0
2019-08-06,17838806.66666667,138625.00000000,15961440.00000000,33938871.66666667,-87815.83333333,-0.00258079,-0.00588097,24824394.41806710,117390.68818892,0.00213926,0.00087292,0.04912970,-0.05501067,0
