,XJIG/ S33 Corp,XJIG/ S32 Corp,XJIG/ S31 Corp,XJIG/ S30 Corp
2018-09-21,,,,100.916916
2018-09-24,,,,100.8614598
2018-09-25,,,,100.8256671
2018-09-26,,,,100.85019109999999
2018-09-27,,,,100.90785240000001
2018-09-28,,,,100.93731059999999
2018-10-01,,,,100.9944284
2018-10-02,,,,100.912625
2018-10-03,,,,100.9394079
2018-10-04,,,,100.87741170000001
2018-10-05,,,,100.8171612
2018-10-08,,,,100.71875770000001
2018-10-09,,,,100.71549870000001
2018-10-10,,,,100.6966401
2018-10-11,,,,100.619425
2018-10-12,,,,100.6290395
2018-10-15,,,,100.57910229999999
2018-10-16,,,,100.5983088
2018-10-17,,,,100.6603419
2018-10-18,,,,100.57193249999999
2018-10-19,,,,100.5340932
2018-10-22,,,,100.5571352
2018-10-23,,,,100.53137530000001
2018-10-24,,,,100.4634662
2018-10-25,,,,100.4512447
2018-10-26,,,,100.3293995
2018-10-29,,,,100.3431533
2018-10-30,,,,100.35173809999999
2018-10-31,,,,100.3968442
2018-11-01,,,,100.4078191
2018-11-02,,,,100.52873709999999
2018-11-05,,,,100.561133
2018-11-06,,,,100.590448
2018-11-07,,,,100.6741824
2018-11-08,,,,100.7256045
2018-11-09,,,,100.6939433
2018-11-12,,,,100.648032
2018-11-13,,,,100.56463029999999
2018-11-14,,,,100.4680502
2018-11-15,,,,100.4056255
2018-11-16,,,,100.3457303
2018-11-19,,,,100.3057199
2018-11-20,,,,100.15312359999999
2018-11-21,,,,100.13894499999999
2018-11-22,,,,100.10889540000001
2018-11-23,,,,100.1216515
2018-11-26,,,,100.1681698
2018-11-27,,,,100.0916675
2018-11-28,,,,100.16465129999999
2018-11-29,,,,100.24506509999999
2018-11-30,,,,100.3240438
2018-12-03,,,,100.491366
2018-12-04,,,,100.4329349
2018-12-05,,,,100.3361112
2018-12-06,,,,100.25251920000001
2018-12-07,,,,100.2190654
2018-12-10,,,,100.144237
2018-12-11,,,,100.15192320000001
2018-12-12,,,,100.2663071
2018-12-13,,,,100.3614055
2018-12-14,,,,100.36837290000001
2018-12-17,,,,100.38378540000001
2018-12-18,,,,100.3960556
2018-12-19,,,,100.42372409999999
2018-12-20,,,,100.3401356
2018-12-21,,,,100.1620628
2018-12-24,,,,100.06720279999999
2018-12-25,,,,100.0467003
2018-12-26,,,,100.03770659999999
2018-12-27,,,,100.0851734
2018-12-28,,,,100.14912840000001
2018-12-31,,,,100.174305
2019-01-01,,,,100.1635157
2019-01-02,,,,100.0926533
2019-01-03,,,,100.0377566
2019-01-04,,,,100.1027978
2019-01-07,,,,100.195033
2019-01-08,,,,100.32397850000001
2019-01-09,,,,100.41405
2019-01-10,,,,100.42837779999999
2019-01-11,,,,100.4783236
2019-01-14,,,,100.4566927
2019-01-15,,,,100.48134509999998
2019-01-16,,,,100.5246777
2019-01-17,,,,100.515384
2019-01-18,,,,100.6038078
2019-01-21,,,,100.6346104
2019-01-22,,,,100.6243059
2019-01-23,,,,100.5914964
2019-01-24,,,,100.6417353
2019-01-25,,,,100.7097224
2019-01-28,,,,100.70795030000001
2019-01-29,,,,100.6871275
2019-01-30,,,,100.70271009999999
2019-01-31,,,,100.89008340000001
2019-02-01,,,,100.95492540000001
2019-02-04,,,,100.976789
2019-02-05,,,,100.99132990000001
2019-02-06,,,,101.0047265
2019-02-07,,,,100.984915
2019-02-08,,,,100.87506579999999
2019-02-11,,,,100.8861887
2019-02-12,,,,100.94827240000001
2019-02-13,,,,101.0757114
2019-02-14,,,,101.1048225
2019-02-15,,,,101.0652615
2019-02-18,,,,101.1110577
2019-02-19,,,,101.1605235
2019-02-20,,,,101.19865809999999
2019-02-21,,,,101.2483956
2019-02-22,,,,101.268695
2019-02-25,,,,101.32280390000001
2019-02-26,,,,101.31040290000001
2019-02-27,,,,101.3131254
2019-02-28,,,,101.3292231
2019-03-01,,,,101.37509809999999
2019-03-04,,,,101.48042190000001
2019-03-05,,,,101.4783687
2019-03-06,,,,101.47160009999999
2019-03-07,,,,101.4244413
2019-03-08,,,,101.30140920000001
2019-03-11,,,,101.355188
2019-03-12,,,,101.4260089
2019-03-13,,,,101.4498933
2019-03-14,,,,101.46282
2019-03-15,,,,101.4749803
2019-03-18,,,,101.5481649
2019-03-19,,,,101.57194240000001
2019-03-20,,,101.2875662,101.5870963
2019-03-21,,,101.34142750000001,101.6337135
2019-03-22,,,101.3511514,101.66858140000001
2019-03-25,,,101.3370267,101.65005179999999
2019-03-26,,,101.366886,101.666862
2019-03-27,,,101.3546001,101.68361309999999
2019-03-28,,,101.3656634,101.666225
2019-03-29,,,101.3792093,101.6842321
2019-04-01,,,101.4801228,101.7578824
2019-04-02,,,101.5346338,101.79945450000001
2019-04-03,,,101.5990022,101.89589029999999
2019-04-04,,,101.6105918,101.9131613
2019-04-05,,,101.6095432,101.9115764
2019-04-08,,,101.59370940000001,101.8868989
2019-04-09,,,101.5732169,101.8618075
2019-04-10,,,101.5645574,101.8614558
2019-04-11,,,101.6101754,101.89092559999999
2019-04-12,,,101.6656536,101.9288301
2019-04-15,,,101.7179507,101.98130350000001
