,USY8137FAQ10 Corp,XS1266590089 Corp,XS1627597955 Corp,XS2030531938 Corp,USG84228EH74 Corp,XS1751792836 Corp,XS2071413483 Corp,XS2099273737 Corp,XS2106329134 Corp,XS2016067303 Corp,USG85381AE48 Corp,XS1526108235 Corp,XS1808311424 Corp,XS2100664544 Corp,XS1506085114 Corp,USY267BJGT59 Corp,XS2082380515 Corp,XS2098881654 Corp,USY2R27RAB56 Corp,XS1587867539 Corp,XS2132420758 Corp,XS2079668609 Corp,XS1642686676 Corp,XS2201937211 Corp,USY59505AA82 Corp,XS2215399317 Corp,USY2R40TAB40 Corp,XS2205566206 Corp,USY59501AA78 Corp,XS1719264324 Corp,USY708CHAA88 Corp,XS2189303873 Corp,USG61759AA70 Corp,XS1981089284 Corp,XS1981973941 Corp
,PX_MID,PX_MID,PX_MID,PX_MID,PX_MID,PX_MID,PX_MID,PX_MID,PX_MID,PX_MID,PX_MID,PX_MID,PX_MID,PX_MID,PX_MID,PX_MID,PX_MID,PX_MID,PX_MID,PX_MID,PX_MID,PX_MID,PX_MID,PX_MID,PX_MID,PX_MID,PX_MID,PX_MID,PX_MID,PX_MID,PX_MID,PX_MID,PX_MID,PX_MID,PX_MID
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-01,,96.522,83.671,,,89.061,,,,,,87.865,,,76.77,,,,101.398,95.445,,,,,93.148,,,,,103.625,94.441,,,,
2018-08-02,,96.349,82.479,,,88.96,,,,,,87.818,,,75.525,,,,101.3,93.803,,,,,92.252,,,,,103.417,93.55,,,,
2018-08-03,,96.425,82.667,,,88.853,,,,,,87.812,,,75.117,,,,101.437,95.181,,,90.75,,92.571,,,,,103.25,94.364,,,,
2018-08-06,,96.439,83.125,,,88.821,,,,,,87.734,,,75.42,,,,101.381,96.177,,,,,93.307,,,,,103.333,94.014,,,,
2018-08-07,,96.403,84.215,,,88.818,,,,,,87.688,,,75.312,,,,101.439,97.145,,,,,93.751,,,,,103.375,94.38,,,,
2018-08-08,,96.581,84.393,,,88.871,,,,,,87.664,,,76.006,,,,101.56,97.419,,,,,93.844,,,,,103.417,94.631,,,,
2018-08-09,,96.674,84.591,,,88.848,,,,,,87.708,,,76.173,,,,101.587,97.373,,,,,93.82,,,,,103.375,94.664,,,,
2018-08-10,,96.904,85.382,,,88.811,,,,,,87.71,,,76.078,,,,101.712,98.179,,,92.65,,93.762,,,,,103.375,94.57,,,,
2018-08-13,,96.729,84.589,,,88.689,,,,,,87.683,,,75.22,,,,101.301,96.886,,,,,92.444,,,,,103.125,93.735,,,,
2018-08-14,,95.495,84.536,,,88.707,,,,,,87.687,,,75.098,,,,101.111,97.073,,,,,92.551,,,,,103.125,93.388,,,,
2018-08-15,,94.963,84.612,,,88.688,,,,,,87.718,,,74.418,,,,101.203,97.212,,,,,92.085,,,,,103.125,92.9,,,,
2018-08-16,,94.275,84.088,,,88.571,,,,,,87.623,,,73.916,,,,101.164,96.627,,,,,91.457,,,,,103.125,92.534,,,,
2018-08-17,,94.144,83.975,,,88.497,,,,,,87.645,,,74.006,,,,101.168,96.722,,,,,91.545,,,,,103.083,92.616,,,,
