Dates,Spreads,Prices
2018/8/1,58.28,101.8763643
2018/8/2,61.011,101.7500354
2018/8/3,61.7,101.7181555
2018/8/6,61.689,101.7166884
2018/8/7,59.898,101.7976056
2018/8/8,59.724,101.8040999
2018/8/9,58.902,101.8410308
2018/8/10,61.645,101.7165389
2018/8/13,64.418,101.5899508
2018/8/14,62.671,101.6683743
2018/8/15,62.331,101.6821761
2018/8/16,62.024,101.6964279
2018/8/17,61.333,101.7260083
2018/8/20,60.953,101.7404051
2018/8/21,59.54,101.8047585
2018/8/22,58.633,101.8444283
2018/8/23,58.617,101.8452672
2018/8/24,58.169,101.8643901
2018/8/27,56.521,101.9352943
2018/8/28,55.967,101.958264
2018/8/29,55.946,101.9572793
2018/8/30,56.864,101.91456
2018/8/31,59.037,101.8164649
2018/9/3,60.297,101.7573029
2018/9/4,60.561,101.7444497
2018/9/5,61.86,101.6847449
2018/9/6,59.882,101.7727312
2018/9/7,58.481,101.835288
2018/9/10,58.104,101.8462147
2018/9/11,57.446,101.8743875
2018/9/12,57.81,101.8556558
2018/9/13,55.748,101.9472722
2018/9/14,54.837,101.9867776
2018/9/17,55.48,101.9534805
2018/9/18,55.73,101.9417856
2018/9/19,55.271,101.9602234
2018/9/20,57.366,102.042127
2018/9/21,58.373,101.9916076
2018/9/24,58.179,101.9981279
2018/9/25,58.386,101.987121
2018/9/26,57.258,102.0398805
2018/9/27,56.489,102.0773733
2018/9/28,55.959,102.1020935
2018/10/1,56.068,102.093988
2018/10/2,57.162,102.0390873
2018/10/3,56.708,102.0614589
2018/10/4,58.375,101.9772719
2018/10/5,60.535,101.8704013
2018/10/8,64.46,101.6780082
2018/10/9,63.976,101.700397
2018/10/10,62.996,101.7468341
2018/10/11,65.558,101.6241555
2018/10/12,65.149,101.6439144
2018/10/15,65.675,101.6160077
2018/10/16,66.055,101.5969193
2018/10/17,65.825,101.6070285
2018/10/18,65.735,101.6094294
2018/10/19,67.385,101.530039
2018/10/22,66.728,101.5580062
2018/10/23,67.825,101.5054941
2018/10/24,69.518,101.4258595
2018/10/25,70.629,101.3746107
2018/10/26,72.546,101.2822013
2018/10/29,72.74,101.2726992
2018/10/30,72.26,101.2946477
2018/10/31,71.741,101.3177802
2018/11/1,71.657,101.3201436
2018/11/2,67.198,101.5305097
2018/11/5,66.733,101.5478584
2018/11/6,66.15,101.5747702
2018/11/7,65.226,101.6172251
2018/11/8,63.086,101.7170298
2018/11/9,63.556,101.693081
2018/11/12,64.312,101.6562092
2018/11/13,65.198,101.6138168
2018/11/14,65.751,101.589313
2018/11/15,67.059,101.5281801
2018/11/16,67.643,101.5003268
2018/11/19,69.868,101.3951491
2018/11/20,72.337,101.2798369
2018/11/21,71.901,101.2993061
2018/11/22,72.846,101.2540805
2018/11/23,73.045,101.2441854
2018/11/26,72.355,101.2747789
2018/11/27,72.457,101.268709
2018/11/28,72.161,101.282408
2018/11/29,70.136,101.3768858
2018/11/30,69.262,101.4175445
2018/12/3,66.279,101.5547437
2018/12/4,65.289,101.5997842
2018/12/5,66.852,101.5277576
2018/12/6,68.219,101.4634469
2018/12/7,68.922,101.4312888
2018/12/10,71.07,101.3310972
2018/12/11,69.204,101.4182833
2018/12/12,67.794,101.4819548
2018/12/13,65.047,101.608177
2018/12/14,64.487,101.6340281
2018/12/17,64.138,101.648645
2018/12/18,63.37,101.6850497
2018/12/19,62.594,101.7229723
2018/12/20,65.287,101.5967287
2018/12/21,67.08,101.5119432
2018/12/24,69.393,101.402514
2018/12/25,69.955,101.3783833
2018/12/26,69.952,101.3780254
2018/12/27,68.379,101.4484204
2018/12/28,67.122,101.5078101
2018/12/31,66.847,101.5200762
2019/1/1,66.847,101.5201657
2019/1/2,68.749,101.4313264
2019/1/3,69.762,101.3836407
2019/1/4,68.73,101.4353284
2019/1/7,66.84,101.516349
2019/1/8,64.644,101.6158414
2019/1/9,62.275,101.7232962
2019/1/10,63.533,101.6648167
2019/1/11,61.409,101.7619953
2019/1/14,63.613,101.6581898
2019/1/15,62.696,101.699696
2019/1/16,60.893,101.782176
2019/1/17,60.674,101.7910028
2019/1/18,59.807,101.8291793
2019/1/21,58.649,101.8775275
