Dates,Spreads,Prices
2018/8/1,111.549,99.4914336
2018/8/2,115.251,99.32999472
2018/8/3,114.89,99.34593885
2018/8/6,113.667,99.40004266
2018/8/7,110.239,99.55006819
2018/8/8,111.697,99.48669317
2018/8/9,111.309,99.50377145
2018/8/10,117.362,99.23986795
2018/8/13,127.605,98.79679417
2018/8/14,124.055,98.95055029
2018/8/15,123.84,98.96082337
2018/8/16,124.055,98.95132741
2018/8/17,123.834,98.96190929
2018/8/20,123.463,98.97953668
2018/8/21,121.991,99.04280884
2018/8/22,120.029,99.128207
2018/8/23,119.896,99.13389308
2018/8/24,120.087,99.12618468
2018/8/27,117.315,99.24740424
2018/8/28,116.044,99.30304238
2018/8/29,117.518,99.24018282
2018/8/30,119.56,99.15282514
2018/8/31,123.775,98.97200074
2018/9/3,128.448,98.77381414
2018/9/4,136.69,98.42446531
2018/9/5,148.48,97.92929851
2018/9/6,143.673,98.13191871
2018/9/7,141.556,98.2213434
2018/9/10,143.369,98.15091365
2018/9/11,140.74,98.26242073
2018/9/12,142.8,98.17833748
2018/9/13,138.593,98.35525147
2018/9/14,133.78,98.55861237
2018/9/17,136.633,98.44209755
2018/9/18,135.116,98.50613663
2018/9/19,134.657,98.5268976
2018/9/20,137.062,98.28368126
2018/9/21,135.57,98.3528925
2018/9/24,134.112,98.42167663
2018/9/25,135.459,98.36103321
2018/9/26,133.645,98.44523672
2018/9/27,131.156,98.55866351
2018/9/28,130.118,98.6067555
2018/10/1,129.5,98.63675726
2018/10/2,133.926,98.43647897
2018/10/3,133.676,98.44755343
2018/10/4,139.389,98.19156309
2018/10/5,142.345,98.06083487
2018/10/8,148.635,97.7832111
2018/10/9,147.367,97.84086028
2018/10/10,144.995,97.94756428
2018/10/11,148.22,97.80335806
2018/10/12,146.25,97.89112448
2018/10/15,146.306,97.89207867
2018/10/16,147.062,97.85956315
2018/10/17,146.561,97.88300402
2018/10/18,146.279,97.89798885
2018/10/19,148.388,97.80527836
2018/10/22,148.163,97.81974701
2018/10/23,150.916,97.69839949
2018/10/24,153.614,97.57812307
2018/10/25,155.578,97.48898325
2018/10/26,159.134,97.33560628
2018/10/29,159.474,97.32129748
2018/10/30,159.264,97.33195885
2018/10/31,159.44,97.32693533
2018/11/1,159.003,97.34923763
2018/11/2,153.004,97.61309929
2018/11/5,150.943,97.71066358
2018/11/6,148.965,97.79856739
2018/11/7,146.542,97.90686435
2018/11/8,142.064,98.10611397
2018/11/9,143.484,98.0452995
2018/11/12,145.086,97.97604733
2018/11/13,146.133,97.93077401
2018/11/14,147.456,97.87057868
2018/11/15,146.051,97.93189406
2018/11/16,146.278,97.92241894
2018/11/19,148.121,97.84235743
2018/11/20,152.676,97.64191671
2018/11/21,151.486,97.69567774
2018/11/22,152.677,97.64541881
2018/11/23,151.9,97.68050016
2018/11/26,149.197,97.80158026
2018/11/27,149.014,97.81180535
2018/11/28,148.658,97.82751376
2018/11/29,143.39,98.05848094
2018/11/30,142.195,98.11121371
2018/12/3,137.827,98.30613757
2018/12/4,137.734,98.31153485
2018/12/5,140.265,98.19896417
2018/12/6,142.048,98.12116702
2018/12/7,142.119,98.11722311
2018/12/10,145.676,97.96125565
2018/12/11,141.555,98.14176482
2018/12/12,139.124,98.25119912
2018/12/13,134.3,98.4656858
2018/12/14,133.98,98.48005646
2018/12/17,133.825,98.4883782
2018/12/18,133.646,98.4957539
2018/12/19,130.785,98.62072697
2018/12/20,135.435,98.4157985
2018/12/21,139.121,98.25496441
2018/12/24,142.046,98.12912143
2018/12/25,143.135,98.07882116
2018/12/26,143.316,98.07156582
2018/12/27,139.771,98.23006499
2018/12/28,138.088,98.30264288
2018/12/31,137.452,98.33108113
2019/1/1,137.43,98.33193931
2019/1/2,141.403,98.15846709
2019/1/3,142.253,98.12225616
2019/1/4,139.455,98.23993942
2019/1/7,136.003,98.39884943
2019/1/8,132.806,98.54125253
2019/1/9,128.137,98.74827928
2019/1/10,128.778,98.72021124
2019/1/11,125.754,98.85412977
2019/1/14,129.895,98.67340076
2019/1/15,128.657,98.72836849
2019/1/16,125.366,98.87351623
2019/1/17,125.594,98.86430782
