,CDX HY CDSI S34 5Y PRC Corp,CDX HY CDSI S33 5Y PRC Corp,CDX HY CDSI S32 5Y PRC Corp,CDX HY CDSI S31 5Y PRC Corp,CDX EM CDSI S33 5Y PRC Corp,CDX EM CDSI S32 5Y PRC Corp,CDX EM CDSI S31 5Y PRC Corp,CDX EM CDSI S30 5Y PRC Corp
Name,MARKIT CDX.NA.HY.34 06/25*,MARKIT CDX.NA.HY.33 12/24*,MARKIT CDX.NA.HY.32 06/24*,MARKIT CDX.NA.HY.31 12/23*,MARKIT CDX.EM.33 06/25*,MARKIT CDX.EM.32 12/24*,MARKIT CDX.EM.31 06/24*,MARKIT CDX.EM.30 12/23*
CRNCY,USD,USD,USD,USD,USD,USD,USD,USD
px_mid,101.9738,102.0606,102.7461,102.6474,96.72375,97.77,88.57485,89.60805
CDS_FIRST_ACCRUAL_START_DATE,2020-03-20 00:00:00,2019-09-20 00:00:00,2019-03-20 00:00:00,2018-09-20 00:00:00,2020-03-20 00:00:00,2019-09-20 00:00:00,2019-03-20 00:00:00,2018-09-20 00:00:00
FIRST_CPN_DT,2020-06-22 00:00:00,2019-12-20 00:00:00,2019-06-20 00:00:00,2018-12-20 00:00:00,2020-06-22 00:00:00,2019-12-20 00:00:00,2019-06-20 00:00:00,2018-12-20 00:00:00
maturity,2025-06-20 00:00:00,2024-12-20 00:00:00,2024-06-20 00:00:00,2023-12-20 00:00:00,2025-06-20 00:00:00,2024-12-20 00:00:00,2024-06-20 00:00:00,2023-12-20 00:00:00
PX_POS_MULT_FACTOR,0.94,0.9099999999999999,0.8999999999999999,0.8799999999999999,0.95,0.93,0.94,0.94
isin,CDX HY CDSI S34 5Y PRC Corp,CDX HY CDSI S33 5Y PRC Corp,CDX HY CDSI S32 5Y PRC Corp,CDX HY CDSI S31 5Y PRC Corp,CDX EM CDSI S33 5Y PRC Corp,CDX EM CDSI S32 5Y PRC Corp,CDX EM CDSI S31 5Y PRC Corp,CDX EM CDSI S30 5Y PRC Corp
coupon,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
SECURITY_PRICING_DATE,,,,,,,,
