,CDX HY CDSI S34 5Y PRC Corp,CDX HY CDSI S33 5Y PRC Corp,CDX HY CDSI S32 5Y PRC Corp,CDX HY CDSI S31 5Y PRC Corp,CDX EM CDSI S33 5Y PRC Corp,CDX EM CDSI S32 5Y PRC Corp,CDX EM CDSI S31 5Y PRC Corp,CDX EM CDSI S30 5Y PRC Corp
,PX_MID,PX_MID,PX_MID,PX_MID,PX_MID,PX_MID,PX_MID,PX_MID
date,,,,,,,,
2018-09-21,,,,,,,,95.441
2018-09-24,,,,,,,,95.558
2018-09-25,,,,,,,,95.476
2018-09-26,,,,,,,,95.753
2018-09-27,,,,107.2629,,,,95.901
2018-09-28,,,,107.3065,,,,95.739
2018-10-01,,,,107.5935,,,,95.727
2018-10-02,,,,107.3633,,,,95.759
2018-10-03,,,,107.2666,,,,95.637
2018-10-04,,,,106.9919,,,,95.128
2018-10-05,,,,106.7824,,,,94.931
2018-10-08,,,,106.7632,,,,95.033
2018-10-09,,,,106.7221,,,,95.226
2018-10-10,,,,105.8945,,,,94.8
2018-10-11,,,,105.9311,,,,95.134
2018-10-12,,,,106.2141,,,,95.172
2018-10-15,,,,105.9095,,,,95.325
2018-10-16,,,,106.4015,,,,95.631
2018-10-17,,,,106.2237,,,,95.493
2018-10-18,,,,105.7691,,,,95.22
2018-10-19,,,,105.6646,,,,95.292
2018-10-22,,,,105.4694,,,,95.414
2018-10-23,,,,105.4643,,,,95.345
2018-10-24,,,,104.9877,,,,95.235
2018-10-25,,,,105.084,,,,95.346
2018-10-26,,,,104.7834,,,,95.332
2018-10-29,,,,104.8358,,,,95.129
2018-10-30,,,,105.0719,,,,95.27
2018-10-31,,,,105.2564,,,,95.266
2018-11-01,,,,105.6257,,,,95.505
2018-11-02,,,,105.7079,,,,95.773
2018-11-05,,,,105.9169,,,,95.874
2018-11-06,,,,106.0975,,,,95.935
2018-11-07,,,,106.4661,,,,96.129
2018-11-08,,,,106.2221,,,,95.924
2018-11-09,,,,105.5264,,,,95.831
2018-11-12,,,,105.5058,,,,95.851
2018-11-13,,,,104.864,,,,95.578
2018-11-14,,,,104.553,,,,95.581
2018-11-15,,,,104.4631,,,,95.511
2018-11-16,,,,104.1688,,,,95.45
2018-11-19,,,,103.6764,,,,95.2
2018-11-20,,,,103.4206,,,,94.801
2018-11-21,,,,103.8257,,,,95.0
2018-11-22,,,,103.8257,,,,
2018-11-23,,,,103.4047,,,,94.757
2018-11-26,,,,103.65,,,,94.802
2018-11-27,,,,103.81,,,,94.73
2018-11-28,,,,104.7997,,,,95.165
2018-11-29,,,,104.7538,,,,95.236
2018-11-30,,,,104.4722,,,,95.263
2018-12-03,,,,104.7888,,,,95.503
2018-12-04,,,,103.8509,,,,95.218
2018-12-05,,,,103.8518,,,,95.245
2018-12-06,,,,103.7237,,,,95.191
2018-12-07,,,,103.1782,,,,95.29
2018-12-10,,,,103.0594,,,,95.217
2018-12-11,,,,103.2211,,,,95.3
2018-12-12,,,,103.6395,,,,95.476
2018-12-13,,,,103.8774,,,,95.654
2018-12-14,,,,103.385,,,,95.619
2018-12-17,,,,102.9167,,,,95.631
2018-12-18,,,,102.9045,,,,95.608
2018-12-19,,,,102.2054,,,,95.527
2018-12-20,,,,101.4727,,,,95.369
2018-12-21,,,,101.0491,,,,95.123
2018-12-24,,,,100.7208,,,,94.915
2018-12-25,,,,100.7833,,,,94.922
2018-12-26,,,,101.946,,,,94.978
2018-12-27,,,,101.8195,,,,95.116
2018-12-28,,,,101.9042,,,,95.211
2018-12-31,,,,102.0048,,,,95.24
2019-01-01,,,,102.0113,,,,95.242
2019-01-02,,,,101.7716,,,,95.273
2019-01-03,,,,101.3849,,,,95.267
2019-01-04,,,,102.8891,,,,95.658
2019-01-07,,,,103.389,,,,95.98
2019-01-08,,,,103.8425,,,,95.87
2019-01-09,,,,103.5484,,,,96.001
