date,PX_MID,fund_net_asset_val,TOT_RETURN_INDEX_GROSS_DVDS
2018-08-01,108.17,108.04,108.16
2018-08-02,108.075,107.82,108.07
2018-08-03,108.325,108.08,108.31
2018-08-06,108.11,107.99,108.13
2018-08-07,107.975,107.84,107.97
2018-08-08,107.975,107.59,107.97
2018-08-09,107.585,107.32,107.59
2018-08-10,106.355,106.44,106.37
2018-08-13,105.895,105.39,105.9
2018-08-14,106.625,106.16,106.59
2018-08-15,106.365,106.09,106.37
2018-08-16,106.575,106.35,106.59
2018-08-17,107.015,106.43,107.02
2018-08-20,106.875,106.51,106.88
2018-08-21,107.175,106.68,107.18
2018-08-22,107.645,107.16,107.65
2018-08-23,107.125,107.11,107.12
2018-08-24,107.405,106.97,107.4
2018-08-27,107.535,107.07,107.54
2018-08-28,107.345,107.11,107.34
2018-08-29,107.025,106.85,107.02
2018-08-30,106.435,106.52,106.43
2018-08-31,106.105,106.21,106.1
2018-09-04,105.345,105.01,105.7756
2018-09-05,105.415,105.06,105.8459
2018-09-06,105.875,105.53,106.3178
2018-09-07,105.605,105.43,106.0367
2018-09-10,105.425,105.15,105.8358
2018-09-11,105.205,104.9,105.635
2018-09-12,105.545,105.3,105.9764
2018-09-13,106.545,105.98,107.0107
2018-09-14,106.68,106.21,107.1312
2018-09-17,106.375,106.01,106.7998
2018-09-18,106.045,105.87,106.4684
2018-09-19,106.395,105.98,106.85
2018-09-20,107.0,106.48,107.4525
2018-09-21,107.265,106.79,107.6834
2018-09-24,107.135,106.87,107.573
2018-09-25,107.19,106.87,107.6533
2018-09-26,107.685,107.17,108.1453
2018-09-27,108.065,107.7,108.5269
2018-09-28,107.815,107.65,108.2558
2018-10-01,107.355,107.05,108.2553
2018-10-02,107.475,106.97,108.3663
2018-10-03,106.885,106.9,107.8016
2018-10-04,106.175,105.92,107.0453
2018-10-05,105.855,105.59,106.7227
2018-10-08,105.815,105.64,106.6924
2018-10-09,105.855,105.48,106.7327
2018-10-10,105.435,105.34,106.2891
2018-10-11,105.585,105.24,106.4504
2018-10-12,105.835,105.51,106.6924
2018-10-15,105.825,105.61,106.7126
2018-10-16,106.225,105.82,107.1159
2018-10-17,105.96,105.94,106.8638
2018-10-18,105.575,105.56,106.4605
2018-10-19,105.465,105.3,106.3395
2018-10-22,105.34,105.22,106.2286
2018-10-23,105.385,105.1,106.2588
2018-10-24,104.975,105.09,105.8454
2018-10-25,105.305,105.04,106.1782
2018-10-26,105.445,105.1,106.3193
2018-10-29,105.02,104.91,105.8656
2018-10-30,105.1,104.72,105.9765
2018-10-31,104.62,104.57,105.5328
2018-11-01,104.715,104.36,106.038
2018-11-02,104.595,104.5,105.9164
2018-11-05,104.835,104.59,106.1696
2018-11-06,104.705,104.57,106.038
2018-11-07,104.945,104.74,106.2911
2018-11-08,104.575,104.46,105.8962
2018-11-09,104.635,104.32,105.9468
2018-11-12,104.215,104.37,105.5619
2018-11-13,104.095,103.94,105.4303
2018-11-14,104.295,103.85,105.6328
2018-11-15,103.875,103.67,105.1973
2018-11-16,104.025,103.72,105.3543
2018-11-19,103.675,103.64,104.9847
2018-11-20,102.825,102.86,104.1339
2018-11-21,103.305,103.01,104.6099
2018-11-23,102.985,102.9,104.2453
2018-11-26,103.07,102.66,104.3972
2018-11-27,102.375,102.33,103.668
2018-11-28,103.63,102.68,104.9644
2018-11-29,103.45,103.31,104.7821
2018-11-30,103.695,103.47,105.015
2018-12-03,103.99,103.78,105.7488
2018-12-04,103.665,103.68,105.4436
2018-12-06,103.965,103.59,105.759
2018-12-07,104.055,103.95,105.8607
2018-12-10,104.075,103.87,105.8607
2018-12-11,104.15,103.92,105.9319
2018-12-12,104.305,104.26,106.1251
2018-12-13,104.635,104.62,106.4303
2018-12-14,104.605,104.62,106.4507
2018-12-17,104.785,104.72,106.5931
2018-12-18,103.565,103.37,106.7048
2018-12-19,103.465,103.35,106.5606
2018-12-20,103.29,103.28,106.3649
2018-12-21,102.985,103.11,106.0251
2018-12-24,102.895,103.18,105.9736
2018-12-26,103.055,103.09,106.1281
2018-12-27,103.475,103.14,106.5709
2018-12-28,103.555,103.22,106.643
2018-12-31,103.93,103.17,107.0138
2019-01-02,103.88,103.29,107.0138
2019-01-03,104.325,103.69,107.4669
2019-01-04,105.125,104.29,108.2805
2019-01-07,105.545,104.92,108.7439
2019-01-08,105.46,104.8,108.6615
2019-01-09,105.675,105.29,108.8572
2019-01-10,105.495,105.07,108.6615
2019-01-11,105.48,105.14,108.6718
2019-01-14,105.41,105.16,108.5483
2019-01-15,105.745,105.42,108.919
2019-01-16,105.885,105.66,109.0117
2019-01-17,106.215,105.63,109.3825
2019-01-18,106.7,106.17,109.9077
2019-01-22,106.71,106.27,109.9386
2019-01-23,107.27,106.88,110.4844
2019-01-24,107.765,107.27,111.0199
2019-01-25,107.675,107.31,110.917
2019-01-28,107.19,107.06,110.4123
2019-01-29,107.285,106.86,110.505
2019-01-30,108.015,106.9,111.2877
2019-01-31,108.875,108.08,112.1322
2019-02-01,108.565,107.73,112.2892
2019-02-04,108.255,107.7,111.9066
2019-02-05,108.935,108.26,112.6511
2019-02-06,108.405,108.2,112.072
2019-02-07,108.195,107.87,111.8652
2019-02-08,107.74,107.63,111.3689
2019-02-11,107.455,107.38,111.1103
2019-02-12,107.88,107.59,111.524
2019-02-13,107.91,107.91,111.5343
2019-02-14,108.16,107.87,111.8238
2019-02-15,108.205,107.68,111.9169
2019-02-19,108.165,107.94,111.8445
2019-02-20,108.18,108.02,111.8549
2019-02-21,108.135,108.01,111.7825
2019-02-22,108.76,108.3,112.4753
2019-02-25,108.615,108.48,112.2892
2019-02-26,108.89,108.61,112.6201
2019-02-27,108.935,108.68,112.6511
2019-02-28,108.92,108.68,112.5787
2019-03-01,108.055,107.93,112.1781
2019-03-04,107.9,107.84,112.1158
2019-03-05,108.02,107.59,112.1677
2019-03-06,107.945,107.81,112.0743
2019-03-07,107.675,107.66,111.8147
2019-03-08,107.975,107.53,112.1262
2019-03-11,108.365,107.96,112.5415
2019-03-12,108.725,108.28,112.8945
2019-03-13,108.755,108.25,112.9257
2019-03-14,108.615,108.41,112.7596
2019-03-15,108.995,108.7,113.2164
2019-03-18,109.175,108.94,113.3202
2019-03-19,109.21,109.1,113.4033
2019-03-20,110.16,109.14,114.4105
2019-03-21,110.11,109.65,114.3793
2019-03-22,109.44,109.42,113.6213
2019-03-25,110.015,109.36,114.2547
2019-03-26,110.135,109.66,114.3585
2019-03-27,109.75,109.52,113.9328
2019-03-28,109.985,109.46,114.1716
2019-03-29,110.01,109.83,114.2755
2019-04-01,109.81,109.53,114.477
2019-04-02,109.82,109.52,114.55
2019-04-03,109.625,109.49,114.2894
2019-04-04,109.615,109.55,114.2581
2019-04-05,110.04,109.63,114.7064
2019-04-08,109.585,109.55,114.2477
2019-04-09,109.67,109.72,114.3207
2019-04-10,109.855,109.63,114.55
2019-04-11,109.48,109.38,114.133
2019-04-12,109.485,109.18,114.1226
2019-04-15,109.54,109.26,114.1955
2019-04-16,109.345,109.37,113.9766
2019-04-17,109.43,109.42,114.0809
2019-04-18,109.52,109.39,114.1747
2019-04-22,109.415,109.36,114.0913
2019-04-23,109.74,109.52,114.4353
2019-04-24,109.42,109.47,114.1121
2019-04-25,109.635,109.07,114.2685
2019-04-26,109.545,109.35,114.1955
2019-04-29,109.67,109.38,114.3102
2019-04-30,109.745,109.54,114.477
2019-05-01,109.28,109.24,114.4446
2019-05-02,109.195,109.11,114.2666
2019-05-03,109.725,109.31,114.9157
2019-05-06,109.76,109.38,114.8948
2019-05-07,109.22,109.24,114.2876
2019-05-08,109.305,109.08,114.4132
2019-05-09,108.975,108.81,114.0677
2019-05-10,109.285,108.99,114.4551
2019-05-13,108.475,108.61,113.5338
2019-05-14,108.87,108.75,113.8898
2019-05-15,109.205,108.98,114.3085
2019-05-16,109.245,109.11,114.3295
2019-05-17,108.995,109.03,114.0677
2019-05-20,109.425,109.12,114.5807
2019-05-21,109.57,109.29,114.7168
2019-05-22,109.49,109.39,114.654
2019-05-23,109.365,109.18,114.497
2019-05-24,109.465,109.22,114.6121
2019-05-28,109.595,109.41,114.7587
2019-05-29,109.545,109.4,114.6959
2019-05-30,109.855,109.6,115.0413
2019-05-31,109.885,109.46,115.0413
2019-06-03,109.385,109.15,114.9984
2019-06-04,110.015,109.56,115.6923
2019-06-05,110.36,110.14,116.0602
2019-06-06,110.775,110.38,116.5017
2019-06-07,111.435,110.76,117.2061
2019-06-10,111.36,111.05,117.0589
2019-06-11,111.215,111.03,116.9012
2019-06-12,111.1,111.08,116.8066
2019-06-13,111.335,111.06,117.0694
2019-06-14,111.26,111.03,116.9748
2019-06-17,111.32,111.05,117.0274
2019-06-18,112.415,111.82,118.2153
2019-06-19,113.415,112.14,119.2455
2019-06-20,113.915,113.33,119.7817
2019-06-21,112.865,112.85,118.6148
2019-06-24,113.055,112.91,118.8461
2019-06-25,112.485,112.76,118.2363
2019-06-26,112.665,112.62,118.4361
2019-06-27,113.14,112.76,118.9197
2019-06-28,113.295,112.9,119.0984
2019-07-01,113.425,113.06,119.7059
2019-07-02,113.605,113.18,119.9169
2019-07-03,113.93,113.5,120.2441
2019-07-05,113.365,113.26,119.6214
2019-07-08,113.235,113.07,119.4526
2019-07-09,112.945,112.79,119.1676
2019-07-10,113.095,112.82,119.3576
2019-07-11,112.785,112.75,119.0093
2019-07-12,112.99,112.68,119.2521
2019-07-15,113.25,112.94,119.4948
2019-07-16,113.175,112.98,119.4315
2019-07-17,113.295,113.16,119.5687
2019-07-18,113.47,113.05,119.7903
2019-07-19,113.345,113.27,119.6109
2019-07-22,113.725,113.48,120.033
2019-07-23,114.07,113.65,120.4024
2019-07-24,114.305,113.89,120.6768
2019-07-25,114.19,113.88,120.4974
2019-07-26,114.08,113.84,120.434
2019-07-29,114.095,113.97,120.4235
2019-07-30,113.905,113.79,120.223
2019-07-31,113.665,113.87,119.9697
2019-08-01,113.725,113.31,120.485
2019-08-02,113.66,113.36,120.4109
2019-08-05,112.56,112.92,119.2246
2019-08-06,113.345,113.11,120.0614
2019-08-07,113.94,113.76,120.6651
2019-08-08,114.495,113.98,121.2689
2019-08-09,114.43,114.39,121.2053
2019-08-12,113.215,113.13,119.9343
2019-08-13,113.09,112.93,119.7648
2019-08-14,112.94,112.92,119.6059
2019-08-15,113.365,113.09,120.0825
2019-08-16,113.995,113.51,120.771
2019-08-19,113.545,113.26,120.2838
2019-08-20,113.535,113.29,120.3156
2019-08-21,113.915,113.46,120.6651
2019-08-22,113.985,113.69,120.7287
2019-08-23,113.975,113.69,120.7816
2019-08-26,113.9,113.71,120.6757
2019-08-27,114.255,113.82,121.0146
2019-08-28,114.395,114.1,121.1523
2019-08-29,114.655,114.14,121.4277
2019-08-30,114.96,114.35,121.8302
2019-09-03,114.84,114.39,122.1086
2019-09-04,115.585,115.02,122.874
2019-09-05,114.96,115.02,122.2149
2019-09-06,115.39,114.89,122.6507
2019-09-09,114.455,114.65,121.6409
2019-09-10,113.615,114.1,120.7373
2019-09-11,113.74,113.78,120.8649
