date,PX_MID,fund_net_asset_val,TOT_RETURN_INDEX_GROSS_DVDS
2018-08-01,115.155,115.4277,115.14
2018-08-02,114.5,115.0902,114.52
2018-08-03,114.905,115.1694,114.92
2018-08-06,114.325,114.5357,114.33
2018-08-07,114.585,114.7902,114.59
2018-08-08,114.905,114.5237,114.91
2018-08-09,114.745,114.977,114.74
2018-08-10,114.675,114.9805,114.69
2018-08-13,112.985,113.6463,112.96
2018-08-14,113.07,113.3278,113.07
2018-08-15,111.215,111.9062,111.19
2018-08-16,111.115,111.7535,111.1
2018-08-17,112.12,111.5629,112.13
2018-08-20,112.675,112.1226,112.69
2018-08-21,113.025,112.7464,113.02
2018-08-22,113.275,113.2849,113.27
2018-08-23,112.195,112.8765,112.2
2018-08-24,114.135,113.3818,114.16
2018-08-27,114.585,113.3781,114.59
2018-08-28,113.705,114.7546,113.68
2018-08-29,114.2,113.9911,114.2
2018-08-30,113.625,113.3365,113.64
2018-08-31,113.505,113.8229,113.51
2018-09-04,112.94,112.7195,112.93
2018-09-05,113.315,113.2722,113.32
2018-09-06,113.54,114.0711,113.54
2018-09-07,113.215,113.478,113.23
2018-09-10,113.155,113.2565,113.15
2018-09-11,113.215,112.6161,113.22
2018-09-12,114.165,113.1591,114.17
2018-09-13,113.77,114.502,113.76
2018-09-14,113.005,113.7577,113.02
2018-09-17,113.615,113.7493,113.61
2018-09-18,113.425,113.5871,113.44
2018-09-19,113.895,113.8793,113.88
2018-09-20,114.25,114.3561,114.27
2018-09-21,113.475,113.4414,113.49
2018-09-24,113.465,113.821,113.47
2018-09-25,113.655,113.7393,113.65
2018-09-26,113.06,113.0139,113.05
2018-09-27,112.06,112.1749,112.05
2018-09-28,112.765,112.3488,112.76
2018-10-01,112.565,112.5439,112.57
2018-10-02,113.855,113.9957,113.87
2018-10-03,113.415,113.6631,113.42
2018-10-04,113.485,113.8749,113.48
2018-10-05,113.835,113.9067,113.8
2018-10-08,112.515,112.308,112.54
2018-10-09,112.625,112.1743,112.6
2018-10-10,112.885,112.4617,112.88
2018-10-11,115.725,114.065,115.78
2018-10-12,115.245,115.4078,115.23
2018-10-15,115.94,116.3693,116.0
2018-10-16,115.875,116.4389,115.8
2018-10-17,115.775,116.2815,115.79
2018-10-18,115.905,115.7078,115.92
2018-10-19,116.015,116.1654,116.01
2018-10-22,115.695,115.6364,115.71
2018-10-23,116.37,116.9268,116.39
2018-10-24,116.645,116.4146,116.66
2018-10-25,116.385,116.4369,116.4
2018-10-26,116.745,116.7243,116.77
2018-10-29,116.295,116.4318,116.31
2018-10-30,115.775,115.9196,115.8
2018-10-31,115.135,114.9295,115.15
2018-11-01,116.665,116.4611,116.63
2018-11-02,116.645,116.5498,116.65
2018-11-05,116.385,116.5601,116.37
2018-11-06,116.01,116.4973,116.04
2018-11-07,115.995,116.3399,116.03
2018-11-08,115.775,115.7898,115.78
2018-11-09,114.475,114.5821,114.48
2018-11-12,113.655,114.0247,113.66
2018-11-13,113.675,113.697,113.7
2018-11-14,114.63,113.8046,114.64
2018-11-15,114.755,114.6168,114.77
2018-11-16,115.565,115.6135,115.62
2018-11-19,115.675,115.5341,115.67
2018-11-20,115.625,115.6652,115.67
2018-11-21,115.87,115.9572,115.86
2018-11-23,115.735,115.7229,115.77
2018-11-26,115.62,115.6955,115.64
2018-11-27,114.925,115.4861,114.95
2018-11-28,115.395,114.7328,115.38
2018-11-29,115.74,115.9613,115.74
2018-11-30,115.53,115.137,115.54
2018-12-03,116.385,116.3393,116.41
2018-12-04,117.075,117.284,117.12
2018-12-06,117.125,117.4943,117.14
2018-12-07,118.075,117.5639,118.09
2018-12-10,117.675,117.7539,117.68
2018-12-11,117.55,117.7479,117.54
2018-12-12,117.795,117.7891,117.79
2018-12-13,117.545,117.5042,117.53
2018-12-14,117.105,116.8031,117.06
2018-12-17,117.845,117.395,117.87
2018-12-18,118.135,117.8335,118.15
2018-12-19,117.415,118.6549,117.43
2018-12-20,119.215,119.1027,119.24
2018-12-21,118.745,118.9501,118.72
2018-12-24,120.005,119.2394,120.02
2018-12-26,119.705,119.2368,119.66
2018-12-27,120.525,119.8738,120.57
2018-12-28,120.995,120.9126,121.06
2018-12-31,121.22,121.1593,121.25
2019-01-02,121.325,121.2748,121.33
2019-01-03,122.435,121.9874,122.43
2019-01-04,121.475,120.9885,121.44
2019-01-07,121.83,122.1476,121.86
2019-01-08,121.515,121.6025,121.53
2019-01-09,122.295,121.8044,122.31
2019-01-10,121.585,122.1151,121.59
2019-01-11,121.785,121.8348,121.8
2019-01-14,122.095,122.1901,122.09
2019-01-15,121.855,122.3447,121.88
2019-01-16,122.245,122.1448,122.27
2019-01-17,122.105,121.9923,122.11
2019-01-18,121.04,121.3765,121.02
2019-01-22,121.405,121.1726,121.45
2019-01-23,121.275,120.9539,121.28
2019-01-24,121.075,121.3212,121.09
2019-01-25,122.845,122.2841,122.86
2019-01-28,123.255,123.06,123.29
2019-01-29,123.945,123.5691,123.98
2019-01-30,124.655,123.8655,124.69
2019-01-31,124.74,125.0506,124.75
2019-02-01,124.515,124.6191,124.5
2019-02-04,123.975,123.9958,123.96
2019-02-05,124.285,124.1882,124.28
2019-02-06,123.455,124.0167,123.44
2019-02-07,123.755,123.7885,123.74
2019-02-08,124.2,124.2456,124.21
2019-02-11,123.615,123.4427,123.6
