date,PX_MID,fund_net_asset_val,TOT_RETURN_INDEX_GROSS_DVDS
2018-08-01,,,28340.74
2018-08-02,,,27714.56
2018-08-03,,,27676.32
2018-08-06,,,27819.56
2018-08-07,,,28248.88
2018-08-08,,,28359.14
2018-08-09,,,28607.3
2018-08-10,,,28366.62
2018-08-13,,,27936.57
2018-08-14,,,27752.93
2018-08-15,,,27323.59
2018-08-16,,,27130.4708
2018-08-17,,,27247.0986
2018-08-20,,,27632.1847
2018-08-21,,,27800.7344
2018-08-22,,,27981.0609
2018-08-23,,,27843.6783
2018-08-24,,,27728.249
2018-08-27,,,28331.6961
2018-08-28,,,28412.2178
2018-08-29,,,28477.1764
2018-08-30,,,28259.8285
2018-08-31,,,27983.3916
2018-09-03,,,27836.6834
2018-09-04,,,28098.6517
2018-09-05,,,27369.8927
2018-09-06,,,27128.456
2018-09-07,,,27128.032
2018-09-10,,,26777.7867
2018-09-11,,,26589.5628
2018-09-12,,,26519.167
2018-09-13,,,27199.6197
2018-09-14,,,27473.4032
2018-09-17,,,27126.1457
2018-09-18,,,27283.7553
2018-09-19,,,27608.8375
2018-09-20,,,27679.6543
2018-09-21,,,28162.7112
2018-09-24,,,27706.2303
2018-09-26,,,28026.0983
2018-09-27,,,27924.1371
2018-09-28,,,27997.535
2018-10-02,,,27330.4146
2018-10-03,,,27295.0305
2018-10-04,,,26824.125
2018-10-05,,,26773.1779
2018-10-08,,,26400.3846
2018-10-09,,,26370.5007
2018-10-10,,,26390.8129
2018-10-11,,,25488.6431
2018-10-12,,,26028.4707
2018-10-15,,,25671.9628
2018-10-16,,,25689.3162
2018-10-18,,,25681.5374
2018-10-19,,,25789.3403
2018-10-22,,,26386.3671
2018-10-23,,,25572.5744
2018-10-24,,,25474.9414
2018-10-25,,,25217.3446
2018-10-26,,,24938.0461
2018-10-29,,,25036.954
2018-10-30,,,24808.3908
2018-10-31,,,25206.1237
2018-11-01,,,25646.3887
2018-11-02,,,26726.4411
2018-11-05,,,26169.4778
2018-11-06,,,26357.739
2018-11-07,,,26384.7113
2018-11-08,,,26465.4667
2018-11-09,,,25833.994
2018-11-12,,,25879.375
2018-11-13,,,26040.5988
2018-11-14,,,25900.8291
2018-11-15,,,26354.0507
2018-11-16,,,26435.0109
2018-11-19,,,26625.2911
2018-11-20,,,26088.5247
2018-11-21,,,26220.9142
2018-11-22,,,26275.723
2018-11-23,,,26183.0894
2018-11-26,,,26636.7228
2018-11-27,,,26600.5724
2018-11-28,,,26954.7489
2018-11-29,,,26720.857
2018-11-30,,,26777.1454
2018-12-03,,,27462.8841
2018-12-04,,,27542.0941
2018-12-05,,,27097.2084
2018-12-06,,,26427.0446
2018-12-07,,,26333.4662
2018-12-10,,,26018.864
2018-12-11,,,26038.3536
2018-12-12,,,26457.6885
2018-12-13,,,26798.8223
2018-12-14,,,26364.8173
2018-12-17,,,26357.9368
2018-12-18,,,26081.3743
2018-12-19,,,26133.0435
2018-12-20,,,25888.6807
2018-12-21,,,26019.9148
2018-12-24,,,25916.8189
2018-12-27,,,25742.5339
2018-12-28,,,25768.1159
2018-12-31,,,26113.1497
2019-01-02,,,25390.3973
2019-01-03,,,25323.7244
2019-01-04,,,25891.2066
2019-01-07,,,26103.0462
2019-01-08,,,26143.2076
2019-01-09,,,26736.1504
2019-01-10,,,26795.8721
2019-01-11,,,26943.2213
2019-01-14,,,26570.4635
2019-01-15,,,27107.9282
2019-01-16,,,27180.4813
2019-01-17,,,27032.4956
2019-01-18,,,27371.144
2019-01-21,,,27477.9681
2019-01-22,,,27284.9007
2019-01-23,,,27287.6792
2019-01-24,,,27401.6262
2019-01-25,,,27854.4743
2019-01-28,,,27862.3247
2019-01-29,,,27816.5761
2019-01-30,,,27928.8965
2019-01-31,,,28239.0084
2019-02-01,,,28227.1539
2019-02-04,,,28287.255
2019-02-08,,,28242.8992
2019-02-11,,,28442.5154
2019-02-12,,,28470.2971
2019-02-13,,,28800.0196
2019-02-14,,,28733.784
2019-02-15,,,28196.9366
2019-02-18,,,28647.8415
2019-02-19,,,28527.6999
2019-02-20,,,28816.6542
2019-02-21,,,28999.8301
2019-02-22,,,29188.6182
2019-02-25,,,29333.4658
2019-02-26,,,29143.8066
2019-02-27,,,29128.9977
2019-02-28,,,29003.1322
2019-03-01,,,29184.4348
2019-03-04,,,29342.2601
2019-03-05,,,29344.2967
2019-03-06,,,29421.3009
2019-03-07,,,29159.7398
2019-03-08,,,28608.3928
2019-03-11,,,28886.9729
2019-03-12,,,29325.6924
2019-03-13,,,29211.9832
2019-03-14,,,29256.5403
2019-03-15,,,29419.6693
2019-03-18,,,29824.607
2019-03-19,,,29882.6863
2019-03-20,,,29735.3229
2019-03-21,,,29482.3883
2019-03-22,,,29524.779
2019-03-25,,,28929.4017
2019-03-26,,,28973.5818
2019-03-27,,,29137.2186
2019-03-28,,,29184.8471
2019-03-29,,,29464.9283
2019-04-01,,,29982.858
2019-04-02,,,30050.2886
2019-04-03,,,30417.2055
2019-04-04,,,30366.4161
2019-04-08,,,30509.2694
2019-04-09,,,30590.7637
2019-04-10,,,30555.022
2019-04-11,,,30270.8622
2019-04-12,,,30342.1887
2019-04-15,,,30241.7168
2019-04-16,,,30565.481
2019-04-17,,,30560.216
2019-04-18,,,30396.4622
2019-04-23,,,30396.4419
2019-04-24,,,30236.7561
2019-04-25,,,29977.0245
2019-04-26,,,30033.0327
2019-04-29,,,30324.9936
2019-04-30,,,30128.4932
2019-05-02,,,30377.1063
2019-05-03,,,30520.0431
2019-05-06,,,29635.606
2019-05-07,,,29791.0392
