date,PX_MID,fund_net_asset_val,TOT_RETURN_INDEX_GROSS_DVDS
2018-08-01,77.3433,77.0595,85.83
2018-08-02,77.3704,77.0955,85.88
2018-08-03,77.4334,77.2037,85.95
2018-08-06,77.5866,77.2667,86.11
2018-08-07,77.6227,77.4109,86.15
2018-08-08,77.5776,77.4019,86.1
2018-08-09,77.5235,77.4019,86.04
2018-08-10,77.3974,77.2667,85.89
2018-08-13,77.3163,77.2037,85.83
2018-08-14,77.4695,77.2217,85.98
2018-08-15,77.3343,77.1226,85.83
2018-08-16,77.4424,77.2307,85.94
2018-08-17,77.5145,77.2577,86.04
2018-08-20,77.5686,77.3388,86.08
2018-08-21,77.6767,77.4199,86.21
2018-08-22,77.7128,77.519,86.24
2018-08-23,77.6947,77.528,86.23
2018-08-24,77.8209,77.5641,86.38
2018-08-27,77.8479,77.6362,86.41
2018-08-28,77.8119,77.6452,86.37
2018-08-29,77.7848,77.6632,86.32
2018-08-30,77.7128,77.6362,86.25
2018-08-31,77.8029,77.5821,86.36
2018-09-04,77.6683,77.6005,86.1814
2018-09-05,77.5869,77.5281,86.091
2018-09-06,77.6321,77.4919,86.1613
2018-09-07,77.5733,77.4557,86.0709
2018-09-10,77.7136,77.51,86.2417
2018-09-11,77.7317,77.5643,86.2617
2018-09-12,77.9127,77.7,86.4626
2018-09-13,78.0484,77.7995,86.6233
2018-09-14,78.1389,77.8629,86.7036
2018-09-17,78.0665,77.8719,86.6434
2018-09-18,78.0575,77.9262,86.6333
2018-09-19,77.9217,77.8991,86.4726
2018-09-20,77.9941,77.881,86.5932
2018-09-21,78.0484,77.89,86.6133
2018-09-24,77.9941,77.8448,86.5731
2018-09-25,77.9489,77.8357,86.5028
2018-09-26,78.0122,77.881,86.5932
2018-09-27,78.157,77.9262,86.7539
2018-09-28,78.2294,77.9805,86.8141
2018-10-01,78.4195,78.1786,87.0643
2018-10-02,78.3741,78.2332,86.9937
2018-10-03,78.1741,78.215,86.7617
2018-10-04,77.9105,77.8059,86.4388
2018-10-05,77.5559,77.6514,86.0555
2018-10-08,77.3741,77.6877,85.8638
2018-10-09,77.4741,77.4241,85.9949
2018-10-10,76.9378,77.0878,85.3795
2018-10-11,77.0105,77.0787,85.4502
2018-10-12,77.4287,77.2514,85.9041
2018-10-15,77.3287,77.2969,85.8436
2018-10-16,77.6014,77.4605,86.1362
2018-10-17,77.465,77.4241,85.9647
2018-10-18,77.1469,77.2514,85.6015
2018-10-19,77.1741,77.1969,85.6519
2018-10-22,77.2196,77.1787,85.6923
2018-10-23,77.1378,76.8969,85.6116
2018-10-24,76.7651,76.9514,85.1879
2018-10-25,76.9196,76.806,85.3594
2018-10-26,76.5742,76.5969,84.976
2018-10-29,76.5105,76.6242,84.8953
2018-10-30,76.656,76.4423,85.0971
2018-10-31,76.7014,76.6696,85.0971
2018-11-01,77.0624,76.7381,85.4855
2018-11-02,76.9893,76.8386,85.4348
2018-11-05,77.0624,76.9025,85.5058
2018-11-06,77.236,76.9848,85.7288
2018-11-07,77.6836,77.2497,86.2256
2018-11-08,77.5283,77.3045,86.0127
2018-11-09,77.0396,76.9756,85.526
2018-11-12,76.6056,77.0122,84.9988
2018-11-13,76.4686,76.6559,84.8569
2018-11-14,76.3133,76.3453,84.6947
2018-11-15,76.295,76.0164,84.6744
2018-11-16,76.0484,75.9159,84.421
2018-11-19,75.8474,75.852,84.1574
2018-11-20,75.6007,75.6236,83.8938
2018-11-21,75.957,75.8611,84.3196
2018-11-23,75.5733,75.72409999999999,83.8532
2018-11-26,75.9113,75.9342,84.2486
2018-11-27,75.8748,75.8245,84.2081
2018-11-28,76.5051,76.0621,84.9076
2018-11-29,76.5143,76.2265,84.9279
2018-11-30,76.3864,76.2813,84.7555
2018-12-03,76.897,76.6263,85.3399
2018-12-04,76.4107,76.5437,84.8103
2018-12-06,76.1812,76.0115,84.515
2018-12-07,76.0161,76.1858,84.3521
2018-12-10,76.0619,76.0115,84.4132
2018-12-11,76.2179,76.1124,84.5659
2018-12-12,76.4565,76.351,84.8409
2018-12-13,76.6493,76.3877,85.0446
2018-12-14,76.3189,76.2868,84.6881
2018-12-17,75.8417,76.1032,84.1382
2018-12-18,75.6952,75.7552,83.9865
2018-12-19,74.9853,75.5615,83.2293
2018-12-20,74.3398,74.492,82.5028
2018-12-21,73.971,74.2799,82.0935
2018-12-24,73.4455,74.0678,81.4796
2018-12-26,74.6533,73.9664,82.8507
2018-12-27,74.6072,74.1047,82.7996
2018-12-28,74.7455,74.4182,82.9224
2018-12-31,74.7824,74.5934,82.9838
