date,PX_MID,fund_net_asset_val,TOT_RETURN_INDEX_GROSS_DVDS
2018-08-01,2808.85,,2813.36
2018-08-02,2822.0,,2827.5185
2018-08-03,2832.94,,2841.026
2018-08-06,2844.4,,2851.3545
2018-08-07,2853.71,,2859.4299
2018-08-08,2850.3,,2858.7625
2018-08-09,2850.15,,2855.3819
2018-08-10,2834.93,,2835.9248
2018-08-13,2824.52,,2824.6149
2018-08-14,2836.03,,2842.9129
2018-08-15,2820.33,,2821.8155
2018-08-16,2833.66,,2845.0145
2018-08-17,2844.11,,2854.7007
2018-08-20,2849.87,,2861.7376
2018-08-21,2851.56,,2867.7655
2018-08-22,2857.86,,2866.6991
2018-08-23,2851.94,,2862.0298
2018-08-24,2868.65,,2879.8038
2018-08-27,2890.65,,2902.2264
2018-08-28,2893.87,,2903.0249
2018-08-29,2908.61,,2919.827
2018-08-30,2897.05,,2907.367
2018-08-31,2897.14,,2908.0536
2018-09-04,2891.75,,2903.5081
2018-09-05,2881.01,,2895.3917
2018-09-06,2870.51,,2885.6695
2018-09-07,2863.96,,2879.5201
2018-09-10,2873.56,,2884.985
2018-09-11,2883.32,,2895.9631
2018-09-12,2884.44,,2897.0313
2018-09-13,2894.75,,2913.0961
2018-09-14,2897.06,,2914.3405
2018-09-17,2885.01,,2898.1509
2018-09-18,2898.41,,2913.825
2018-09-19,2905.08,,2917.4861
2018-09-20,2925.54,,2940.4905
2018-09-21,2922.24,,2939.4717
2018-09-24,2918.77,,2929.1372
2018-09-25,2911.38,,2925.5253
2018-09-26,2905.68,,2915.9025
2018-09-27,2913.84,,2924.5027
2018-09-28,2910.89,,2924.6056
2018-10-01,2921.61,,2935.274
2018-10-02,2920.34,,2934.2131
2018-10-03,2924.57,,2936.3008
2018-10-04,2902.52,,2913.0012
2018-10-05,2889.86,,2896.9421
2018-10-08,2885.74,,2895.7976
2018-10-09,2879.18,,2892.5346
2018-10-10,2777.91,,2797.4988
2018-10-11,2757.86,,2739.958
2018-10-12,2775.86,,2779.1774
2018-10-15,2746.7,,2762.8302
2018-10-16,2814.07,,2822.2966
2018-10-17,2813.97,,2821.6948
2018-10-18,2774.99,,2781.3515
2018-10-19,2762.59,,2780.4252
2018-10-22,2759.09,,2768.5408
2018-10-23,2743.33,,2753.4211
2018-10-24,2680.39,,2668.4381
2018-10-25,2691.33,,2718.1379
2018-10-26,2669.3,,2671.0469
2018-10-29,2646.39,,2653.5609
2018-10-30,2682.37,,2695.3669
2018-10-31,2708.24,,2724.7022
2018-11-01,2722.82,,2753.5447
2018-11-02,2721.86,,2736.4
2018-11-05,2734.28,,2751.794
2018-11-06,2754.2,,2769.2404
2018-11-07,2803.31,,2828.0006
2018-11-08,2797.48,,2822.391
2018-11-09,2772.45,,2796.9117
2018-11-12,2731.63,,2741.8084
2018-11-13,2730.84,,2737.8354
2018-11-14,2698.77,,2717.8316
2018-11-15,2721.6,,2747.505
2018-11-16,2734.9,,2753.8191
2018-11-19,2691.39,,2708.0665
2018-11-20,2639.15,,2659.1133
2018-11-21,2651.37,,2667.4269
2018-11-23,2634.47,,2650.0811
2018-11-26,2656.72,,2691.5603
2018-11-27,2685.07,,2700.3636
2018-11-28,2733.4,,2762.5786
2018-11-29,2740.83,,2757.1715
2018-11-30,2757.0,,2780.2191
2018-12-03,2782.77,,2810.6419
2018-12-04,2707.36,,2719.8315
2018-12-06,2694.36,,2716.5551
2018-12-07,2642.32,,2653.6313
2018-12-10,2644.35,,2658.3278
2018-12-11,2633.76,,2657.5143
2018-12-12,2651.79,,2671.947
2018-12-13,2644.89,,2671.8288
2018-12-14,2604.18,,2621.1499
2018-12-17,2560.8,,2566.8475
2018-12-18,2541.26,,2567.2352
2018-12-19,2509.35,,2527.9543
2018-12-20,2488.6,,2488.1402
2018-12-21,2429.22,,2436.9136
2018-12-24,2352.47,,2371.0241
2018-12-26,2466.06,,2488.6567
2018-12-27,2480.17,,2510.1273
2018-12-28,2492.07,,2507.4198
2018-12-31,2511.18,,2529.0772
2019-01-02,2485.78,,2532.2906
2019-01-03,2460.22,,2470.2504
2019-01-04,2527.16,,2555.0682
2019-01-07,2550.76,,2572.9895
2019-01-08,2570.84,,2597.9915
2019-01-09,2580.14,,2609.4649
2019-01-10,2592.72,,2621.26
2019-01-11,2590.51,,2620.8833
2019-01-14,2582.13,,2607.3956
2019-01-15,2606.93,,2635.4095
2019-01-16,2612.07,,2641.3334
2019-01-17,2631.05,,2661.6462
2019-01-18,2665.02,,2696.8075
2019-01-22,2628.22,,2658.7329
2019-01-23,2636.97,,2664.5934
2019-01-24,2631.01,,2668.3417
2019-01-25,2659.48,,2691.0863
2019-01-28,2636.84,,2669.9697
2019-01-29,2646.26,,2666.1192
2019-01-30,2681.68,,2707.8779
2019-01-31,2702.18,,2731.7432
2019-02-01,2700.95,,2734.5626
2019-02-04,2715.6,,2753.1424
2019-02-05,2725.91,,2766.1284
2019-02-06,2725.57,,2760.2404
2019-02-07,2699.53,,2734.8118
2019-02-08,2700.04,,2737.5709
2019-02-11,2700.68,,2739.5402
2019-02-12,2740.34,,2775.0483
2019-02-13,2747.72,,2783.6663
2019-02-14,2740.64,,2777.257
2019-02-15,2764.77,,2807.6779
2019-02-19,2773.63,,2812.092
2019-02-20,2777.6,,2817.6391
2019-02-21,2764.78,,2807.9443
2019-02-22,2783.82,,2826.0312
2019-02-25,2789.59,,2829.9089
2019-02-26,2784.31,,2827.7044
2019-02-27,2787.14,,2826.5991
2019-02-28,2782.88,,2819.4539
2019-03-01,2797.05,,2839.0485
2019-03-04,2780.94,,2828.1021
2019-03-05,2784.32,,2824.9915
2019-03-06,2768.95,,2806.6956
2019-03-07,2747.85,,2784.4812
2019-03-08,2742.34,,2778.8112
2019-03-11,2777.45,,2819.5997
2019-03-12,2782.32,,2828.0514
2019-03-13,2807.42,,2847.907
2019-03-14,2795.33,,2846.3935
2019-03-15,2816.04,,2860.7004
2019-03-18,2827.89,,2871.3312
2019-03-19,2824.98,,2871.0414
2019-03-20,2820.19,,2862.7184
2019-03-21,2848.69,,2893.9411
2019-03-22,2804.36,,2839.2468
2019-03-25,2802.76,,2837.0801
2019-03-26,2808.82,,2857.4644
2019-03-27,2801.0,,2844.2276
2019-03-28,2812.43,,2854.8889
2019-03-29,2830.13,,2874.2423
2019-04-01,2858.8,,2907.5139
2019-04-02,2859.41,,2907.6801
2019-04-03,2872.32,,2913.927
2019-04-04,2874.47,,2920.6665
2019-04-05,2885.24,,2934.2309
2019-04-08,2890.7,,2937.3623
2019-04-09,2872.58,,2920.4305
2019-04-10,2882.64,,2930.8318
2019-04-11,2882.49,,2930.9814
2019-04-12,2901.49,,2950.6432
2019-04-15,2901.84,,2948.854
2019-04-16,2902.48,,2950.3561
2019-04-17,2893.34,,2943.9392
2019-04-18,2903.16,,2948.6596
2019-04-22,2906.68,,2951.7228
2019-04-23,2929.3,,2977.9692
2019-04-24,2925.55,,2971.4459
2019-04-25,2917.23,,2970.3496
2019-04-26,2932.74,,2984.3564
2019-04-29,2927.82,,2987.6964
2019-04-30,2944.98,,2990.6183
2019-05-01,2913.68,,2968.2086
2019-05-02,2910.72,,2962.0278
2019-05-03,2940.36,,2990.8689
2019-05-06,2915.7,,2977.7439
2019-05-07,2886.03,,2928.5979
2019-05-08,2879.81,,2923.9784
2019-05-09,2865.75,,2916.1653
2019-05-10,2879.14,,2928.0139
2019-05-13,2805.4,,2857.4746
2019-05-14,2834.39,,2880.7067
2019-05-15,2848.94,,2898.0986
2019-05-16,2871.88,,2924.7255
2019-05-17,2855.41,,2907.9444
2019-05-20,2843.31,,2888.366
2019-05-21,2860.57,,2912.9809
2019-05-22,2852.8,,2904.807
2019-05-23,2819.77,,2870.5036
2019-05-24,2827.77,,2874.8137
2019-05-28,2804.2,,2850.7617
2019-05-29,2781.63,,2831.1356
2019-05-30,2788.59,,2837.4553
2019-05-31,2751.44,,2800.5679
2019-06-03,2751.77,,2792.8506
2019-06-04,2801.26,,2852.8507
2019-06-05,2820.39,,2876.4878
2019-06-06,2829.68,,2894.9227
2019-06-07,2868.19,,2925.59
2019-06-10,2883.28,,2939.235
2019-06-11,2876.65,,2938.3588
2019-06-12,2875.22,,2932.4267
2019-06-13,2885.1,,2945.3154
2019-06-14,2881.66,,2940.9647
2019-06-17,2886.42,,2943.7264
2019-06-18,2914.51,,2972.4197
2019-06-19,2925.05,,2981.3032
2019-06-20,2947.55,,3009.8206
2019-06-21,2939.49,,3006.2159
2019-06-24,2942.06,,3001.0093
2019-06-25,2918.61,,2972.5108
2019-06-26,2907.75,,2968.8428
2019-06-27,2922.02,,2980.6414
2019-06-28,2937.31,,2997.944
2019-07-01,2959.07,,3020.9659
2019-07-02,2970.27,,3029.9284
2019-07-03,2982.43,,3053.9054
2019-07-05,2982.86,,3048.7156
2019-07-08,2969.95,,3034.0202
2019-07-09,2974.18,,3038.6585
2019-07-10,2988.9,,3052.3947
2019-07-11,2993.18,,3059.3829
