date,PX_MID,fund_net_asset_val,TOT_RETURN_INDEX_GROSS_DVDS
2018-08-01,118.485,118.44,118.46
2018-08-02,118.645,118.59,118.63
2018-08-03,119.205,119.17,119.22
2018-08-06,119.285,119.45,119.29
2018-08-07,118.685,118.71,118.67
2018-08-08,118.785,118.7,118.79
2018-08-09,119.775,119.5,119.79
2018-08-10,120.655,120.91,120.66
2018-08-13,120.465,120.37,120.41
2018-08-14,120.155,120.05,120.14
2018-08-15,120.8,120.9,120.84
2018-08-16,120.825,120.69,120.83
2018-08-17,120.985,120.77,120.98
2018-08-20,121.785,121.78,121.79
2018-08-21,121.395,121.39,121.38
2018-08-22,121.855,121.74,121.86
2018-08-23,122.045,122.01,122.05
2018-08-24,122.285,121.97,122.29
2018-08-27,121.545,121.55,121.59
2018-08-28,120.865,120.75,120.86
2018-08-29,121.005,120.99,121.02
2018-08-30,121.265,121.32,121.28
2018-08-31,120.995,121.27,120.995
2018-09-04,120.005,119.73,120.3023
2018-09-05,119.695,119.69,119.9816
2018-09-06,120.125,120.13,120.4226
2018-09-07,119.125,119.07,119.4003
2018-09-10,119.555,119.41,119.8413
2018-09-11,118.7,118.64,118.9292
2018-09-12,118.945,119.02,119.2099
2018-09-13,119.105,119.14,119.3903
2018-09-14,118.565,118.49,118.819
2018-09-17,118.565,118.4,118.819
2018-09-18,117.315,117.24,117.5762
2018-09-19,116.615,116.39,116.8746
2018-09-20,117.145,116.86,117.4158
2018-09-21,117.115,117.05,117.3657
2018-09-24,116.805,116.97,117.065
2018-09-25,116.685,116.52,116.9447
2018-09-26,117.505,117.32,117.7666
2018-09-27,117.605,117.51,117.8468
2018-09-28,117.275,117.27,117.5361
2018-10-01,116.155,116.35,116.675
2018-10-02,116.915,116.87,117.3882
2018-10-03,114.835,114.64,115.349
2018-10-04,114.025,113.92,114.5354
2018-10-05,113.055,113.1,113.5509
2018-10-08,112.675,113.13,113.1692
2018-10-09,113.805,113.67,114.3144
2018-10-10,113.495,113.07,114.003
2018-10-11,114.865,114.93,115.3892
2018-10-12,114.475,114.81,114.9874
2018-10-15,114.47,114.34,114.9372
2018-10-16,114.67,114.57,115.1983
2018-10-17,113.995,114.26,114.5153
2018-10-18,113.965,114.06,114.4751
2018-10-19,113.725,113.54,114.224
2018-10-22,113.57,113.61,114.0733
2018-10-23,113.91,113.96,114.4349
2018-10-24,114.765,114.35,115.2988
2018-10-25,114.305,114.32,114.8166
2018-10-26,114.975,114.96,115.5097
2018-10-29,114.725,114.74,115.2486
2018-10-30,114.2,114.2,114.676
2018-10-31,113.585,113.27,114.0934
2018-11-01,113.405,113.31,114.1985
2018-11-02,112.005,112.0,112.7787
2018-11-05,112.435,112.46,113.2218
2018-11-06,112.365,112.55,113.1513
2018-11-07,112.525,112.62,113.3024
2018-11-08,112.495,112.55,113.2923
2018-11-09,113.35,113.25,114.1381
2018-11-12,114.095,113.28,114.8833
2018-11-13,113.985,113.83,114.8128
2018-11-14,114.095,114.04,114.8833
2018-11-15,114.045,113.86,114.8329
2018-11-16,114.645,114.66,115.4975
2018-11-19,115.005,114.88,115.8197
2018-11-20,115.045,115.13,115.86
2018-11-21,115.025,115.01,115.8197
2018-11-23,115.125,115.08,115.9406
2018-11-26,114.875,114.88,115.6788
2018-11-27,115.02,114.9,115.8097
2018-11-28,114.405,114.73,115.2458
2018-11-29,114.885,114.8,115.6989
2018-11-30,115.305,115.12,116.1319
2018-12-03,115.865,115.57,116.9544
2018-12-04,117.815,117.66,118.9124
2018-12-06,118.175,118.51,119.2858
2018-12-07,118.415,118.38,119.5079
2018-12-10,118.89,118.69,120.0024
2018-12-11,118.895,118.7,119.9822
