date,PX_MID,fund_net_asset_val,TOT_RETURN_INDEX_GROSS_DVDS
2018-08-01,31.105,31.306,31.0
2018-08-02,30.79,30.7474,30.68
2018-08-03,30.33,30.1257,30.1401
2018-08-06,29.235,29.1503,29.2677
2018-08-07,28.595,28.4572,28.56
2018-08-08,28.17,28.2683,28.0315
2018-08-09,28.54,28.5462,28.53
2018-08-10,29.94,30.2061,29.96
2018-08-13,31.725,31.9011,31.7
2018-08-14,30.11,30.1418,30.1
2018-08-15,32.01,31.4505,31.98
2018-08-16,30.265,30.2861,30.23
2018-08-17,29.46,29.3071,29.49
2018-08-20,28.9,28.9763,28.88
2018-08-21,29.55,29.8718,29.46
2018-08-22,29.17,28.9536,28.95
2018-08-23,28.98,29.0621,29.03
2018-08-24,28.82,28.8814,28.86
2018-08-27,28.905,28.9,28.9
2018-08-28,28.9,28.8426,28.9297
2018-08-29,28.89,28.5959,28.65
2018-08-30,29.525,29.6989,29.51
2018-08-31,29.05,28.7066,29.69
2018-09-03,,28.7045,
2018-09-04,29.21,28.981,29.28
2018-09-05,29.43,29.6255,29.46
2018-09-06,30.33,30.7023,30.36
2018-09-07,30.875,31.0955,30.81
2018-09-10,30.035,29.9875,29.98
2018-09-11,29.125,28.9171,29.1
2018-09-12,28.75,28.6729,28.72
2018-09-13,27.9,27.7977,27.94
2018-09-14,27.37,27.241,27.35
2018-09-17,28.13,28.4135,28.2
2018-09-18,28.07,27.7872,28.05
2018-09-19,27.095,27.0307,27.08
2018-09-20,26.65,26.5655,26.64
2018-09-21,26.71,26.7629,26.5661
2018-09-24,26.69,26.5641,26.67
2018-09-25,26.93,26.6589,26.92
2018-09-26,27.19,27.289,27.0
2018-09-27,26.71,26.7602,26.74
2018-09-28,26.69,26.5479,26.7
2018-10-01,26.36,26.4216,26.4
2018-10-02,26.43,26.5147,26.4
2018-10-03,26.185,26.1486,26.2
2018-10-04,27.78,27.5577,27.8
2018-10-05,28.37,28.0887,28.24
2018-10-08,28.645,28.6753,28.64
2018-10-09,29.15,29.0965,29.08
2018-10-10,33.93,34.5513,33.95
2018-10-11,36.88,34.9376,36.86
2018-10-12,34.02,33.9651,34.07
2018-10-15,34.52,34.6744,34.27
2018-10-16,32.105,32.2343,32.08
2018-10-17,32.475,31.9554,32.46
2018-10-18,34.64,34.3525,34.85
2018-10-19,34.305,34.3687,34.27
2018-10-22,34.57,34.7126,34.58
2018-10-23,35.865,35.0882,35.89
2018-10-24,39.09,38.2342,38.66
2018-10-25,37.845,38.7534,37.86
2018-10-26,40.05,39.0893,39.99
2018-10-29,40.24,39.9718,40.34
2018-10-30,38.865,39.0107,38.81
2018-10-31,37.6,37.9355,37.58
